iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
BIH,Europe,Bosnia and Herzegovina,15-01-2022,313185,3162,2079.857,13741,19,21.571,96855.449,977.879,643.216,4249.535,5.876,6.671,1.44,,,,,,,,,,,,,,,,,,,,,,,4315,,,,,1334,1020,0.032,3233530,,,,
BIH,Europe,Bosnia and Herzegovina,15-01-2023,401428,13,24,16254,1,1.857,124145.439,4.02,7.422,5026.705,0.309,0.574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3233530,,,,
IRL,Europe,Ireland,15-01-2022,1065436,18904,21777.714,6255,11,13.286,212106.927,3763.407,4335.506,1245.245,2.19,2.645,0.83,,,,,,,,,10651914,36038,2136.139,7.227,41440,8.31,0.48,2.1,tests performed,10280289,4011539,3894913,2615019,21377,27660,204.66,79.86,77.54,52.06,5507,7505,0.149,5023108,,,,
IRL,Europe,Ireland,15-01-2023,1698673,212,320.714,8623,7,9.286,338171.706,42.205,63.848,1716.666,1.394,1.849,,14,2.787,545,108.499,11,2.174,570,113.439,,,,,,,,,,11109238,4106322,4060800,3183368,309,377,221.16,81.75,80.84,63.37,75,39,0.001,5023108,7542.6987,7.77,19.53,1491.5566
LVA,Europe,Latvia,15-01-2022,301654,3065,2116.143,4726,14,10.857,162998.594,1656.171,1143.457,2553.692,7.565,5.867,1.5,,,,,,,,,5722554,21269,3053.789,11.35,13935,7.436,0.1519,6.6,tests performed,2692322,1327644,1278182,368898,5118,9292,145.48,71.74,69.07,19.93,5021,919,0.05,1850654,,,,
LVA,Europe,Latvia,15-01-2023,974937,35,37.714,6197,0,2.571,526806.74,18.912,20.379,3348.546,0,1.389,,7,3.782,,,15,7.997,163,87.964,,,,,,,,,,,,,,,,,,,,,,,1850654,10074.203,11.79,21.92,5504.3853
MCO,Europe,Monaco,15-01-2022,6863,137,122.286,44,0,0.286,188073.772,3754.35,3351.12,1205.777,0,7.83,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36491,,,,
MCO,Europe,Monaco,15-01-2023,16546,3,3.286,65,0,0,453426.872,82.212,90.042,1781.261,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36491,,,,
MNP,Oceania,Northern Mariana Islands,15-01-2022,3905,37,43.857,21,0,0.286,78771.13,746.359,884.68,423.609,0,5.763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49574,,,,
MNP,Oceania,Northern Mariana Islands,15-01-2023,13395,0,0,41,0,0,270202.122,0,0,827.046,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49574,,,,
SPM,North America,Saint Pierre and Miquelon,15-01-2022,255,142,20.286,,0,0,43330.501,24129.142,3447.02,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5885,,,,
SPM,North America,Saint Pierre and Miquelon,15-01-2023,3400,0,0.714,2,0,0,577740.017,0,121.374,339.847,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5885,,,,
TGO,Africa,Togo,15-01-2022,35665,240,301.714,261,0,1.286,4030.536,27.123,34.097,29.496,0,0.145,0.84,,,,,,,,,644915,1711,74.601,0.198,1917,0.222,0.1304,7.7,tests performed,,,,,,4869,,,,,550,1007,0.011,8848700,,,,
TGO,Africa,Togo,15-01-2023,39351,0,0.286,290,0,0,4447.094,0,0.032,32.773,0,0,,,,,,,,,,,,,,,,,,,3398445,2244456,1554066,427804,,10,38.41,25.36,17.56,4.83,1,143,0.002,8848700,,,,
TUN,Africa,Tunisia,15-01-2022,771177,8460,4676.429,25755,11,16,62412.574,684.681,378.471,2084.393,0.89,1.295,1.57,,,,,,,,,3660414,,298.494,,24163,1.97,0.2335,4.3,people tested,12515433,7036915,6107788,952453,18159,17429,101.29,56.95,49.43,7.71,1411,6204,0.05,12356116,,,,
TUN,Africa,Tunisia,15-01-2023,1150114,2385,352.714,29288,0,0.429,93080.544,193.022,28.546,2370.324,0,0.035,,,,,,,,,,,,,,,,,,,,,,,,59,,,,,5,8,0,12356116,,,,
